id,name_ja,direction,phase,file,frame_size,anchor_px,alpha_bbox,source_sheet,source_cell_xyxy,source_row,source_column,operation,mirrored,scale_applied,motion_authenticity,edge_cleanup
customer_01,女子大生,down,A,sprites/customer_01/down_A.png,"[160, 160]","[80, 154]","[41, 52, 120, 153]",source_sheets/customer_01_07_reference.png,"[347, 144, 480, 254]",1,1,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 390, 'interior_unchanged': True}"
customer_01,女子大生,down,B,sprites/customer_01/down_B.png,"[160, 160]","[80, 154]","[39, 53, 121, 153]",source_sheets/customer_01_07_reference.png,"[488, 144, 621, 254]",1,2,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 357, 'interior_unchanged': True}"
customer_01,女子大生,left,A,sprites/customer_01/left_A.png,"[160, 160]","[80, 154]","[42, 54, 118, 153]",source_sheets/customer_01_07_reference.png,"[629, 144, 763, 254]",1,3,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 368, 'interior_unchanged': True}"
customer_01,女子大生,left,B,sprites/customer_01/left_B.png,"[160, 160]","[80, 154]","[43, 55, 117, 153]",source_sheets/customer_01_07_reference.png,"[1052, 144, 1184, 254]",1,6,crop_background_remove_and_mirror,True,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 366, 'interior_unchanged': True}"
customer_01,女子大生,right,A,sprites/customer_01/right_A.png,"[160, 160]","[80, 154]","[44, 54, 116, 153]",source_sheets/customer_01_07_reference.png,"[911, 144, 1044, 254]",1,5,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 318, 'interior_unchanged': True}"
customer_01,女子大生,right,B,sprites/customer_01/right_B.png,"[160, 160]","[80, 154]","[43, 55, 117, 153]",source_sheets/customer_01_07_reference.png,"[1052, 144, 1184, 254]",1,6,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 367, 'interior_unchanged': True}"
customer_01,女子大生,up,A,sprites/customer_01/up_A.png,"[160, 160]","[80, 154]","[43, 51, 118, 153]",source_sheets/customer_01_07_reference.png,"[1192, 144, 1325, 254]",1,7,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 386, 'interior_unchanged': True}"
customer_01,女子大生,up,B,sprites/customer_01/up_B.png,"[160, 160]","[80, 154]","[42, 54, 118, 153]",source_sheets/customer_01_07_reference.png,"[1333, 144, 1462, 254]",1,8,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 362, 'interior_unchanged': True}"
customer_02,大学生,down,A,sprites/customer_02/down_A.png,"[160, 160]","[80, 154]","[41, 48, 119, 153]",source_sheets/customer_01_07_reference.png,"[347, 262, 480, 375]",2,1,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 418, 'interior_unchanged': True}"
customer_02,大学生,down,B,sprites/customer_02/down_B.png,"[160, 160]","[80, 154]","[43, 50, 118, 153]",source_sheets/customer_01_07_reference.png,"[488, 262, 621, 375]",2,2,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 393, 'interior_unchanged': True}"
customer_02,大学生,left,A,sprites/customer_02/left_A.png,"[160, 160]","[80, 154]","[43, 49, 117, 153]",source_sheets/customer_01_07_reference.png,"[629, 262, 763, 375]",2,3,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 379, 'interior_unchanged': True}"
customer_02,大学生,left,B,sprites/customer_02/left_B.png,"[160, 160]","[80, 154]","[44, 50, 116, 153]",source_sheets/customer_01_07_reference.png,"[1052, 262, 1184, 375]",2,6,crop_background_remove_and_mirror,True,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 381, 'interior_unchanged': True}"
customer_02,大学生,right,A,sprites/customer_02/right_A.png,"[160, 160]","[80, 154]","[44, 49, 116, 153]",source_sheets/customer_01_07_reference.png,"[911, 262, 1044, 375]",2,5,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 342, 'interior_unchanged': True}"
customer_02,大学生,right,B,sprites/customer_02/right_B.png,"[160, 160]","[80, 154]","[44, 50, 116, 153]",source_sheets/customer_01_07_reference.png,"[1052, 262, 1184, 375]",2,6,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 387, 'interior_unchanged': True}"
customer_02,大学生,up,A,sprites/customer_02/up_A.png,"[160, 160]","[80, 154]","[43, 49, 118, 153]",source_sheets/customer_01_07_reference.png,"[1192, 262, 1325, 375]",2,7,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 408, 'interior_unchanged': True}"
customer_02,大学生,up,B,sprites/customer_02/up_B.png,"[160, 160]","[80, 154]","[44, 49, 117, 153]",source_sheets/customer_01_07_reference.png,"[1333, 262, 1462, 375]",2,8,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 400, 'interior_unchanged': True}"
